Amb1,Obj1,Amb2,Obj2,Amb3,Obj3,Avg_Amb,Avg_Obj
28.85,29.15,28.85,29.15,28.85,29.11,28.85,28.99
28.87,29.09,28.83,29.05,28.83,29.09,28.84,29.08
28.83,29.09,28.81,29.05,28.85,29.03,28.83,29.06
28.83,29.09,28.81,29.05,28.85,29.03,28.83,29.06
28.83,29.09,28.81,29.05,28.85,29.03,28.83,33.06
28.83,29.09,28.81,29.05,28.85,29.03,28.83,32.89
28.83,29.09,28.81,29.05,28.85,29.03,28.83,29.06
28.85,29.15,28.85,29.15,28.85,29.11,28.85,29.14
28.87,29.09,28.83,29.05,28.83,29.09,28.84,32.08
28.83,29.09,28.81,29.05,28.85,29.03,28.83,31.40
28.83,29.09,28.81,29.05,28.85,29.03,28.83,29.06
28.83,29.09,28.81,29.05,28.85,29.03,28.83,29.06
28.83,29.09,28.81,29.05,28.85,29.03,28.83,29.51
28.83,29.09,28.81,29.05,28.85,29.03,28.83,29.45
